 0 1 2 3 4 5 6 7 8
0 -152.800 62.450 -169.230 63.830 193.670 -193.022 2.461 -152.829 62.432
1 -152.750 62.450 -164.270 62.800 194.540 -190.983 4.027 -152.798 62.421
2 -152.850 62.400 -171.870 64.940 192.170 -191.683 -3.517 -152.808 62.425
3 -152.800 62.400 -166.620 63.910 192.950 -189.638 -1.950 -152.777 62.414
4 -152.750 62.400 -161.620 62.850 193.760 -187.595 -0.381 -152.745 62.403
5 -152.700 62.400 -156.860 61.790 194.570 -185.553 1.189 -152.714 62.392
6 -152.650 62.400 -152.330 60.730 195.390 -183.513 2.760 -152.683 62.380
7 -152.600 62.400 -148.000 59.680 196.200 -181.473 4.334 -152.651 62.369
8 -152.750 62.350 -159.110 62.870 193.040 -184.208 -4.790 -152.693 62.384
9 -152.700 62.350 -154.330 61.790 193.790 -182.163 -3.218 -152.662 62.373
10 -152.650 62.350 -149.770 60.700 194.550 -180.118 -1.643 -152.631 62.362
11 -152.600 62.350 -145.430 59.630 195.310 -178.076 -0.067 -152.599 62.350
12 -152.550 62.350 -141.280 58.580 196.060 -176.034 1.510 -152.568 62.339
13 -152.500 62.350 -137.310 57.550 196.790 -173.993 3.089 -152.537 62.328
14 -152.450 62.350 -133.510 56.570 197.500 -171.954 4.670 -152.505 62.317
15 -152.600 62.300 -142.990 59.560 194.500 -174.678 -4.468 -152.547 62.332
16 -152.550 62.300 -138.840 58.480 195.200 -172.633 -2.888 -152.516 62.321
17 -152.500 62.300 -134.860 57.430 195.890 -170.589 -1.307 -152.485 62.309
18 -152.450 62.300 -131.060 56.420 196.570 -168.546 0.277 -152.453 62.298
19 -152.400 62.300 -127.400 55.440 197.220 -166.505 1.861 -152.422 62.287
20 -152.350 62.300 -123.890 54.500 197.840 -164.465 3.448 -152.391 62.276
21 -152.300 62.300 -120.510 53.600 198.420 -162.426 5.036 -152.360 62.264
22 -152.450 62.250 -128.740 56.270 195.710 -165.139 -4.116 -152.401 62.279
23 -152.400 62.250 -125.080 55.260 196.330 -163.094 -2.529 -152.370 62.268
24 -152.350 62.250 -121.570 54.290 196.930 -161.050 -0.940 -152.339 62.257
25 -152.300 62.250 -118.190 53.360 197.500 -159.008 0.651 -152.308 62.245
