Site,Lat,Lon,sensor_bb (Y),sensor_sm (Y)
2704,61.2191,-149.8941,,Y
2730,63.4159,-145.7504,,Y
2738,63.3888,-148.8849,,Y
2767,64.7926,-147.1806,,Y
2784,61.1303,-146.3547,,Y
8007,61.1824,-149.9967,,Y
8011,61.209,-149.7857,,Y
8021,61.1129,-149.9095,,Y
8023,61.2047,-149.8763,,Y
8025,61.1471,-149.8939,,Y
8026,61.2089,-149.8289,,Y
8027,61.1609,-149.8892,,Y
8028,61.1925,-149.782,,Y
8029,61.1739,-149.8501,,Y
8030,61.1795,-149.8058,,Y
8031,58.301,-134.4221,,Y
8032,58.3575,-134.5732,,Y
8034,61.1263,-146.3567,,Y
8035,57.6136,-152.2343,,Y
8036,61.1779,-149.9657,,Y
8037,61.1562,-149.9849,,Y
8038,61.2184,-149.8827,,Y
8039,61.1416,-149.9512,,Y
8040,61.2135,-149.8933,,Y
8041,61.1944,-149.9471,,Y
8047,61.1885,-149.802,,Y
8048,57.0519,-135.3331,,Y
8049,57.7913,-152.4059,,Y
8050,57.7408,-152.5044,,Y
8051,57.7372,-152.5038,,Y
8052,60.1026,-149.4379,,Y
A19K,70.2043,-161.0713,Y,
A21K,71.3221,-156.6175,Y,
A22K,71.0033,-154.9742,Y,
ABBK,61.1138,-149.7156,,Y
ACH,58.21,-155.3281,Y,
ADAG,51.9791,-176.6037,Y,
ADK,51.8826,-176.6864,Y,Y
AHB,54.1144,-165.8177,Y,
AHOU,61.632,-149.7968,,Y
AKBB,54.0975,-165.9338,Y,
AKGG,54.1979,-165.9936,Y,
AKHS,54.1533,-165.8868,Y,
AKLV,54.1618,-165.9576,Y,
AKMO,54.0903,-166.0126,Y,
AKRB,54.1292,-166.0708,Y,
AKS,54.1095,-165.6987,Y,
AKT,54.1349,-165.772,Y,
AKUT,54.1352,-165.7719,Y,
AKV,54.1253,-165.9647,Y,
ALUK,61.1029,-149.8156,,Y
AMJG,61.6191,-149.3214,,Y
AMKA,51.3787,179.3018,Y,Y
ANCK,58.1981,-155.4961,Y,
ANM,64.5646,-165.3732,Y,Y
ANNQ,56.9328,-158.1131,Y,
ANNW,56.9656,-158.217,Y,
ANPB,56.8016,-158.2826,Y,
ANPK,56.8409,-158.1283,Y,
ANRM,56.8962,-158.2337,Y,
ANVM,56.8858,-158.1751,Y,
ARTY,61.397,-149.4375,,Y
ATKA,52.2016,-174.1975,Y,Y
AU22,59.3702,-153.3573,Y,
AUCH,59.3626,-153.4447,Y,
AUJA,59.3395,-153.4227,Y,
AUJK,59.3493,-153.4106,Y,
AUL,59.3816,-153.4379,Y,
AULG,59.3773,-153.5193,Y,
AUNO,59.4041,-153.4513,Y,
AUQ,59.3549,-153.4143,Y,
AUSB,59.333,-153.4284,Y,
AUSS,59.3589,-153.4309,Y,
AUW,59.3694,-153.473,Y,
AUWS,59.3585,-153.4612,Y,
AZEM,61.1184,-149.8018,,Y
B18K,69.3641,-161.8016,Y,
B20K,70.0079,-157.1599,Y,
B22K,70.34,-153.4196,Y,
BAE,61.1319,-148.1234,Y,Y
BAGL,60.4896,-142.0915,Y,
BAL,61.036,-142.3462,Y,
BARK,60.403,-142.4934,Y,
BARN,61.0595,-141.6622,Y,
BAT,61.1416,-148.1751,Y,Y
BCP,59.9534,-139.6369,Y,
BE01,60.8043,-161.7708,,Y
BE02,60.8043,-161.7708,,Y
BERG,60.3932,-143.7004,Y,
BESE,58.5792,-134.8559,Y,Y
BGLC,60.1205,-143.2841,Y,Y
BLDW,55.1909,-162.7877,Y,
BMR,60.9677,-144.6051,Y,Y
BOGO,53.9291,-168.0347,Y,
BPAW,64.0997,-150.9873,Y,Y
BPPC,56.5843,-158.8258,Y,
BRLK,59.7511,-150.9063,Y,Y
BRPK,54.6446,-163.7428,Y,
BRSE,59.7049,-150.6728,Y,
BWN,64.173,-149.2987,Y,
C16K,68.2746,-165.3436,Y,
C18K,68.6483,-161.1943,Y,
C19K,69.1049,-159.5874,Y,
C21K,69.1565,-154.7833,Y,
C23K,69.836,-150.6126,Y,
C26K,69.9175,-144.9122,Y,
C27K,69.626,-143.7114,Y,
CAHL,58.0518,-155.3036,Y,
CAPN,60.7683,-151.1539,Y,Y
CAST,63.4188,-152.0844,Y,Y
CCB,64.6454,-147.8055,Y,
CDVT,60.4936,-145.4696,,Y
CEAP,52.0012,179.5758,Y,
CEPE,51.9646,179.6472,Y,
CERA,51.9058,179.6826,Y,
CERB,51.9302,179.6277,Y,
CESW,51.8998,179.5613,Y,
CETU,51.9649,179.4922,Y,
CHGN,56.3014,-158.4142,Y,
CHI,55.8218,-155.6225,Y,Y
CHN,54.831,-159.5895,Y,Y
CHUM,63.8827,-152.3152,Y,
CHX,60.0631,-141.1178,Y,
CLCL,52.8827,-170.0242,Y,
CLCO,52.7866,-169.7229,Y,
CLES,52.8235,-169.8951,Y,
CLNE,52.8425,-169.9223,Y,
CLSF,52.7936,-169.9281,Y,
CNP,59.5251,-151.2373,Y,Y
COLA,64.8736,-147.8616,Y,Y
COLD,67.2278,-150.207,Y,
CRAG,55.4689,-133.123,Y,
CRQ,60.7523,-143.0926,Y,Y
CUT,62.4058,-150.2625,Y,
CYK,60.0823,-142.4872,Y,Y
D17K,67.6988,-163.0831,Y,
D20K,68.7132,-156.6132,Y,
D22K,68.8799,-152.6821,Y,
D24K,69.1532,-148.8233,Y,
D25K,69.322,-146.3751,Y,
DAM1,59.7554,-150.8513,,Y
DAM2,59.7553,-150.8555,,Y
DCPH,59.0905,-138.2139,Y,Y
DEER,54.9713,-162.3244,Y,
DHY,63.0753,-147.3759,Y,Y
DIV,61.1292,-145.7749,Y,Y
DOL,55.1488,-161.8638,Y,
DORN,60.0678,-148.1656,Y,
DOT,63.6487,-144.0674,Y,Y
DT1,55.1062,-162.2801,Y,
DTN,55.1448,-162.259,Y,
E18K,67.4213,-160.6027,Y,
E19K,67.4572,-157.2316,Y,
E21K,68.4414,-153.9721,Y,Y
E22K,68.1343,-151.8132,Y,
E24K,68.0748,-148.4868,Y,
E25K,68.1207,-145.568,Y,
E27K,68.1861,-141.5951,Y,
EDCR,57.0716,-135.7009,Y,
EDES,57.0446,-135.709,Y,
EDNW,57.0629,-135.7835,Y,
EDSO,57.0283,-135.7878,Y,
EGAK,64.7774,-141.1581,Y,
ER01,61.3237,-149.5412,,Y
ER02,61.3166,-149.5721,,Y
ER03,61.3145,-149.5466,,Y
ER04,61.3453,-149.5476,,Y
ESTR,60.9454,-148.0532,Y,
ETKA,51.8608,-176.4079,Y,
EYAK,60.5487,-145.75,Y,Y
F15K,65.7077,-164.6483,Y,
F18K,66.6001,-159.6514,Y,Y
F20K,67.0486,-155.7251,Y,
F21K,67.2221,-153.483,Y,Y
FA01,64.8348,-147.9371,,Y
FA02,64.8456,-148.009,,Y
FA05,64.8393,-147.7516,,Y
FA06,64.8461,-147.6957,,Y
FA07,64.8267,-147.6946,,Y
FA09,64.8377,-147.8172,,Y
FA10,64.8186,-147.7784,,Y
FA11,64.8536,-147.8382,,Y
FA12,64.8269,-147.8684,,Y
FALS,54.8564,-163.4176,Y,Y
FID,60.7277,-146.5987,Y,
FIRE,61.1426,-150.2164,Y,
