ILBB     64.7714 -146.8865    0.3873 EIELSON_ALASKA_ARRAY_ELEMENT                      
AKUT     54.1352 -165.7719    0.0192 Akutan, Alaska                                    
CHGN     56.3014 -158.4142    0.0170 Chignik, Alaska                                   
CRAG     55.4689 -133.1230    0.0579 Craig, Alaska                                     
MENT     62.9380 -143.7194    0.7020 Mentasta, Alaska                                  
MID      59.4278 -146.3388    0.0370 Middleton Island, Alaska                          
OHAK     57.2225 -153.2875    0.0775 Old Harbor, Alaska                                
PMR      61.5922 -149.1308    0.1000 Palmer, Alaska                                    
SDPT     55.3493 -160.4766    0.0740 Sand Point, Alaska                                
SKAG     59.4601 -135.3290    0.1340 Skagway, Alaska                                   
SVW2     61.1082 -155.6217    0.4988 Sparrevohn, Alaska                                
TTA      62.9301 -156.0116    0.9900 Tatalina, Alaska                                  
YKU2     59.5121 -139.6710    0.0101 Yakutat, Alaska                                   
ACH      58.2100 -155.3281    0.9600 Angle Creek Headwaters, Katmai, Alaska            
ADAG     51.9800 -176.6001    0.2810 Mount Adagdak, Regional Station, Alaska           
AHB      54.1144 -165.8177    0.4470 Akutan Harbor, Akutan Volcano, Alaska             
AKBB     54.0975 -165.9338    0.3100 Akutan Broiad Bright, Akutan Volcano, Alaska      
AKGG     54.1979 -165.9936    0.3260 Akutan Green Grass, Akutan Volcano, AK            
AKHS     54.1533 -165.8868    0.1500 Akutan Broiad Bright, Akutan Volcano, Alaska      
AKLV     54.1618 -165.9576    0.5510 Akutan Long Valley, Akutan Volcano, Alaska        
AKMO     54.0903 -166.0126    0.2770 Akutan Morgan, Akutan Volcano, Alaska             
AKRB     54.1292 -166.0708    0.3340 Akutan Reef Bight, Akutan Volcano, Alaska         
AKS      54.1095 -165.6987    0.2130 Akutan Strait, Akutan Volcano, Alaska             
AKT      54.1349 -165.7720    0.0120 Akutan, Akutan Volcano, Alaska                    
AKV      54.1253 -165.9647    0.8630 Akutan Volcano, Akutan Volcano, Alaska            
AMKA     51.3787  179.3018    0.1002 Amchitka Island, Regional Station, Alaska         
ANCK     58.1981 -155.4961    0.8690 Angle Creek, Katmai Volcanic Cluster, Alaska      
AU22     59.3702 -153.3573    0.1050 Augustine Mound, Augustine Volcano, Alaska        
AUCH     59.3626 -153.4447    0.9160 Augustine Cone H, Augustine Volcano, Alaska       
AUJA     59.3395 -153.4227    0.3760 Augustine Junction, Augustine Volcano, Alaska     
AUJK     59.3493 -153.4106    0.3770 Augustine Jurgen Kienle, Cook Inlet, Alaska       
AUL      59.3816 -153.4379    0.3600 Lava Flow, Augustine Volcano, Alaska              
AULG     59.3773 -153.5193    0.0050 Augustine Lagoon, Augustine Island, Alaska        
AUNO     59.4041 -153.4513    0.0890 Augustine North, Augustine Island, Alaska         
AUQ      59.3549 -153.4143    0.6470 Augustine Qik'rtamen, Augustine Volcano, Alaska   
AUSB     59.3330 -153.4284    0.2300 Augustine South Buttress, Augustine Volcano, Alask
AUSS     59.3589 -153.4309    1.2350 Augustine Summit Station, Augustine Volcano, Alask
AUW      59.3694 -153.4730    0.2760 Augustine West, Cook Inlet, Alaska                
AUWS     59.3585 -153.4608    0.4870 Augustine Summit Station, Augustine Volcano, Alask
BOGO     53.9291 -168.0347    0.0050 Bogoslof, Bogoslof Volcano, Alaska                
BRPK     54.6446 -163.7428    0.3930 Brown Peak, Shishaldin Volcano, Alaska            
CAHL     58.0518 -155.3036    0.8070 Cahill, Katmai, Alaska                            
CEAP     52.0012  179.5758    0.2440 Anvil Peak, Cerberus Volcano, Alaska              
CEPE     51.9646  179.6472    0.3350 Perret Ridge, Cerberus Volcano, Alaska            
CERA     51.9058  179.6826    0.3050 Ragged Top, Cerberus Volcano, Alaska              
CERB     51.9302  179.6277    0.3050 Cerberus Volcano, Cerberus Volcano, Alaska        
CESW     51.8998  179.5613    0.2380 Southwest, Cerberus Volcano, Alaska               
CETU     51.9649  179.4922    0.3350 Tuman Head, Cerberus Volcano, Alaska              
CLCO     52.7866 -169.7229    0.1370 Concord Point, Cleveland Volcano, Alaska          
CLES     52.8235 -169.8951    0.1460 Cleveland East, Cleveland Volcano, Alaska         
CLNE     52.8432 -169.9195    0.4340 Cleveland North, Cleveland Volcano, Alaska        
DEER     54.9713 -162.3244    0.3923 Deer Island, Alaska                               
DOL      55.1488 -161.8638    0.4390 Dolgoi Island, Mount Dutton, Alaska               
DT1      55.1062 -162.2801    0.1980 Dutton Round Hill, Mount Dutton, Alaska           
DTN      55.1448 -162.2590    0.3960 Dutton Volcano, Alaska                            
ETKA     51.8608 -176.4079    0.2900 Kagalaska Island, Regional Station, Alaska        
GAEA     51.7819 -178.7488    0.3260 East, Gareloi Volcano, Alaska                     
GAKI     51.5534 -178.8140    0.0990 Kavalga Island, Gareloi Volcano, Alaska           
GALA     51.7606 -178.7735    0.3150 Lava Point, Gareloi Volcano, Alaska               
GANE     51.8178 -178.7787    0.3250 Northeast, Gareloi Volcano, Alaska                
GANO     51.8192 -178.8058    0.4510 North, Gareloi Volcano, Alaska                    
GASW     51.7778 -178.8566    0.2480 Southwest, Gareloi Volcano, Alaska                
GSCK     52.0108 -176.1640    0.3840 Cape Kiugilak, Great Sitkin Volcano, Alaska       
GSIG     51.9853 -175.9270    0.4070 Igitkin Island, Great Sitkin Volcano, Alaska      
GSMY     52.0421 -176.0583    0.4180 Middle Yoke Creek, Great Sitkin Volcano, Alaska   
GSSP     52.0917 -176.1777    0.2950 Saddle Point, Great Sitkin Volcano, Alaska        
GSTD     52.0548 -176.1468    0.8730 Triple Divide, Great Sitkin Volcano, Alaska       
GSTR     52.0932 -176.0611    0.5360 Teapot Rock, Great Sitkin Volcano, Alaska         
ILCB     59.8223 -153.0232    0.7120 Iliamna Volcano, Alaska                           
ILLG     60.0689 -152.9606    0.9680 Iliamna Volcano, Alaska                           
ILS      59.9570 -153.0703    1.1250 Iliamna South, Iliamna Volcano, Alaska            
ILSW     59.9832 -153.1425    1.3180 Iliamna Southwest, Iliamna Volcano, Alaska        
ILW      60.0592 -153.1392    1.6460 Iliamna West, Iliamna Volcano, Alaska             
ISLZ     54.7249 -163.7129    0.6340 Lazaref River, Shishaldin Volcano, Alaska         
ISNN     54.8314 -163.7804    0.4660 Isanotski North, Isanotski, Alaska                
IVE      60.0163 -153.0185    1.1730 Iliamna Volcano East, Cook Inlet, Alaska          
KAB2     58.1312 -154.9762    0.9080 Katmai Barrier Ridge Two, Alaska                  
KABU     58.2702 -155.2843    1.0650 KABU - Katmai Volcanic Cluster, Alaska            
KAHG     58.4933 -154.5484    0.9230 Katmai Hook Glacier, Alaska                       
KAKN     58.2963 -155.0632    1.0490 KAKN - Katmai Volcanic Cluster, Alaska            
KARR     58.4971 -154.7054    0.6100 Katmai Rainbow River, Alaska                      
KAVE     58.1978 -155.0234    0.7020 Katnai Ventifact, Alaska                          
KAWH     58.3830 -154.8013    0.7770 Katmai, Alaska                                    
KICM     51.9178 -177.1973    0.1830 Cape Miga, Kanaga Volcano, Alaska                 
KIKV     51.8777 -177.1724    0.4110 Kanaga Volcano, Kanaga Volcano, Alaska            
KIMD     51.7605 -177.2369    0.1830 MID Benchmark, Kanaga Volcano, Alaska             
KINC     51.9303 -177.1296    0.1980 North Cape, Kanaga Volcano, Alaska                
KIRH     51.8998 -177.0937    0.3210 Round Head, Kanaga Volcano, Alaska                
KIWB     51.8520 -177.1528    0.2440 Westway Bight, Kanaga Volcano, Alaska             
KJL      58.0533 -155.5753    0.7920 Kejulik, Katmai, Alaska                           
KOFP     52.2740 -174.0992    0.6620 Flat Point, Korovin Volcano, Alaska               
KOKL     52.3221 -174.2022    0.7580 Mount Kliuchef, Korovin Volcano, Alaska           
KOKV     52.3603 -174.1673    0.7760 Korovin Volcano, Korovin Volcano, Alaska          
