name,mech
Tintina,ss
Rampart,ss
Minto_Flats,ss
Fairbanks,ss
Salcha,ss
Northern_Foothills,ss
Denali_1,ss
Denali_2,ss
Denali_3,ss
Denali_4,ss
Denali_5,ss
Castle_1,ss
Castle_2,ss
Castle_2_SW,ss
Castle_2_NE,ss
ALU8_man,int
CSE0_man,r
QCF0_man,ss
SlabSection5,is
SlabSection9,int
SlabSection12,or
AncMag/AncMag5_0,is
AncMag/AncMag5_1,is
AncMag/AncMag5_2,is
AncMag/AncMag5_3,is
AncMag/AncMag5_4,is
AncMag/AncMag5_5,is
AncMag/AncMag5_6,is
AncMag/AncMag5_7,is
AncMag/AncMag5_8,is
AncMag/AncMag5_9,is
AncMag/AncMag6_0,is
AncMag/AncMag6_1,is
AncMag/AncMag6_2,is
AncMag/AncMag6_3,is
AncMag/AncMag6_4,is
AncMag/AncMag6_5,is
AncMag/AncMag6_6,is
AncMag/AncMag6_7,is
AncMag/AncMag6_8,is
AncMag/AncMag6_9,is
AncMag/AncMag7_0,is
AncMag/AncMag7_1,is
AncMag/AncMag7_2,is
AncMag/AncMag7_3,is
AncMag/AncMag7_4,is
AncMag/AncMag7_5,is
AncMag/AncMag7_6,is
AncMag/AncMag7_7,is
AncMag/AncMag7_8,is
AncMag/AncMag7_9,is
AncMag/AncMag8_0,is
SlabSection1,is
SlabSection2,is
SlabSection3,is
SlabSection4,is
SlabSection6,is
SlabSection7,int
SlabSection8,int
SlabSection10,int
SlabSection11,int
SlabSection13,or
AncMag/AncMag5_0_PS,is
AncMag/AncMag5_1_PS,is
AncMag/AncMag5_2_PS,is
AncMag/AncMag5_3_PS,is
AncMag/AncMag5_4_PS,is
AncMag/AncMag5_5_PS,is
AncMag/AncMag5_6_PS,is
AncMag/AncMag5_7_PS,is
AncMag/AncMag5_8_PS,is
AncMag/AncMag5_9_PS,is
AncMag/AncMag6_0_PS,is
AncMag/AncMag6_1_PS,is
AncMag/AncMag6_2_PS,is
AncMag/AncMag6_3_PS,is
AncMag/AncMag6_4_PS,is
AncMag/AncMag6_5_PS,is
AncMag/AncMag6_6_PS,is
AncMag/AncMag6_7_PS,is
AncMag/AncMag6_8_PS,is
AncMag/AncMag6_9_PS,is
AncMag/AncMag7_0_PS,is
AncMag/AncMag7_1_PS,is
AncMag/AncMag7_2_PS,is
AncMag/AncMag7_3_PS,is
AncMag/AncMag7_4_PS,is
