X,Y,Name,description,altitudeMode,sta,Field1,lon,staname,elev,lat,net,FID,Field_1
-156.6175,71.3221,"b'Barrow, AK, USA'",,clampToGround,b'A21K',1,-156.6175,"b'Barrow, AK, USA'",0.005,71.3221,"b'AK, mag'",1,"b'Barrow, AK, USA'"
-154.9742,71.0033,"b'Sinclair Lake, AK, USA'",,clampToGround,b'A22K',2,-154.9742,"b'Sinclair Lake, AK, USA'",0.006,71.0033,"b'AK, mag'",2,"b'Sinclair Lake, AK, USA'"
74.494,42.639,"b'Ala Archa, Kyrgyzstan'",,clampToGround,b'AAK',3,74.494,"b'Ala Archa, Kyrgyzstan'",1.645,42.639,b'II',3,"b'Ala Archa, Kyrgyzstan'"
58.1189,37.9304,"b'Alibek, Turkmenistan'",,clampToGround,b'ABKT',4,58.1189,"b'Alibek, Turkmenistan'",0.678,37.9304,b'II',4,"b'Alibek, Turkmenistan'"
-176.6842,51.8823,"b'Adak, Aleutian Islands, Alaska'",,clampToGround,b'ADK',7,-176.6842,"b'Adak, Aleutian Islands, Alaska'",0.13,51.8823,"b'mag, IU'",5,"b'Adak, Aleutian Islands, Alaska'"
-171.7773,-13.9093,"b'Afiamalu, Samoa'",,clampToGround,b'AFI',8,-171.7773,"b'Afiamalu, Samoa'",0.706,-13.9093,b'IU',6,"b'Afiamalu, Samoa'"
-166.0708,54.1292,"b'Akutan Reef Bight, Akutan Volcano, Alaska'",,clampToGround,b'AKRB',15,-166.0708,"b'Akutan Reef Bight, Akutan Volcano, Alaska'",0.334,54.1292,"b'Akutan, AV, mag'",7,"b'Akutan Reef Bight, Akutan Volcano, Alaska'"
-165.6987,54.1095,"b'Akutan Strait, Akutan Volcano, Alaska'",,clampToGround,b'AKS',16,-165.6987,"b'Akutan Strait, Akutan Volcano, Alaska'",0.213,54.1095,"b'Akutan, AV, nomag'",8,"b'Akutan Strait, Akutan Volcano, Alaska'"
-62.35,82.5033,"b'Alert, N.W.T., Canada'",,clampToGround,b'ALE',20,-62.35,"b'Alert, N.W.T., Canada'",0.06,82.5033,b'II',9,"b'Alert, N.W.T., Canada'"
179.3018,51.3787,"b'Amchitka Island, Regional Station, Alaska'",,clampToGround,b'AMKA',21,179.3018,"b'Amchitka Island, Regional Station, Alaska'",0.1002,51.3787,"b'AV, mag'",10,"b'Amchitka Island, Regional Station, Alaska'"
-154.8013,58.383,"b'Katmai, Alaska'",,clampToGround,b'KAWH',240,-154.8013,"b'Katmai, Alaska'",0.777,58.383,"b'AV, Katmai, mag'",181,"b'Katmai, Alaska'"
-142.3605,60.9231,"b'Kiagna River, AK, USA'",,clampToGround,b'KIAG',248,-142.3605,"b'Kiagna River, AK, USA'",1.7522,60.9231,"b'AK, Steep, mag'",187,"b'Kiagna River, AK, USA'"
-145.9227,61.4924,"b'Klutina Pass, AK, USA'",,clampToGround,b'KLU',259,-145.9227,"b'Klutina Pass, AK, USA'",1.0471,61.4924,"b'AK, mag'",193,"b'Klutina Pass, AK, USA'"
-150.9233,63.5527,"b'Kantishna Hills, AK, USA'",,clampToGround,b'KTH',272,-150.9233,"b'Kantishna Hills, AK, USA'",1.172,63.5527,"b'AK, mag'",200,"b'Kantishna Hills, AK, USA'"
-158.2972,62.1344,"b'Donlin, AK, USA'",,clampToGround,b'L17K',278,-158.2972,"b'Donlin, AK, USA'",0.338,62.1344,"b'mag, AK'",206,"b'Donlin, AK, USA'"
25.5967,-25.0151,"b'Lobatse, Botswana, Africa'",,clampToGround,b'LBTB',284,25.5967,"b'Lobatse, Botswana, Africa'",1.128,-25.0151,b'GT',212,"b'Lobatse, Botswana, Africa'"
-68.9111,-22.6127,"b'Limon Verde, Chile'",,clampToGround,b'LVC',294,-68.9111,"b'Limon Verde, Chile'",2.96,-22.6127,b'IU',218,"b'Limon Verde, Chile'"
-153.1318,61.8823,"b'Styx River, AK, USA'",,clampToGround,b'M20K',300,-153.1318,"b'Styx River, AK, USA'",1.107,61.8823,"b'mag, AK'",224,"b'Styx River, AK, USA'"
